letter,x,y,z
!,29.117647058823533,24.705882352941174,10
!,29.117647058823533,44.411764705882355,10
!,30.45751633986928,5.751633986928109,10
!,29.117647058823533,38.13725490196079,10
!,29.117647058823533,52.94117647058824,10
!,29.117647058823533,31.96078431372549,10
!,27.41061130334487,6.960784313725494,10
!,29.117647058823533,29.705882352941178,10
!,29.117647058823533,48.627450980392155,10
!,29.117647058823533,22.15686274509804,10
!,29.117647058823533,40.3921568627451,10
!,28.80952380952381,5.077030812324928,10
!,29.117647058823533,34.01960784313725,10
!,29.14828431372549,8.66421568627451,10
!,29.117647058823533,27.254901960784313,10
!,29.117647058823533,42.450980392156865,10
!,29.117647058823533,46.470588235294116,10
!,29.117647058823533,50.78431372549019,10
!,30.995475113122172,7.33785822021116,10
!,29.117647058823533,35.98039215686274,10
"""",38.529411764705884,40.29411764705882,10
"""",19.70588235294118,43.92156862745098,10
"""",38.529411764705884,48.92156862745098,10
"""",19.70588235294118,50.68627450980392,10
"""",19.70588235294118,38.13725490196079,10
"""",38.529411764705884,45.09803921568628,10
"""",19.700115340253753,47.10495963091118,10
"""",38.529411764705884,53.43137254901961,10
"""",19.70588235294118,52.84313725490196,10
"""",19.70588235294118,39.705882352941174,10
"""",38.529411764705884,38.333333333333336,10
"""",38.529411764705884,52.156862745098046,10
"""",19.71164936562861,45.44405997693195,10
"""",38.529411764705884,46.96078431372549,10
"""",19.70588235294118,42.549019607843135,10
"""",38.529411764705884,42.05882352941176,10
"""",19.70588235294118,48.8235294117647,10
"""",38.529411764705884,43.529411764705884,10
"""",38.529411764705884,50.68627450980392,10
"""",19.70588235294118,41.17647058823529,10
#,36.07934762690122,15.167674546454112,10
#,22.647058823529427,35.0,10
#,43.46462063086104,28.039215686274503,10
#,29.28165658786879,28.04104819497892,10
#,14.966720633207412,14.705882352941169,10
#,35.98039215686275,41.470588235294116,10
#,22.30096858020317,14.780297661233186,10
#,43.46462063086104,14.70588235294117,10
#,22.647058823529427,49.11764705882352,10
#,36.121448579431764,26.93377350940376,10
#,35.98039215686274,4.9999999999999964,10
#,15.064775910364146,28.039215686274503,10
#,22.647058823529424,2.9411764705882355,10
#,35.98039215686275,34.11764705882353,10
#,35.98039215686275,48.92156862745098,10
#,29.18238993710692,14.704032556418786,10
#,22.400820793433656,28.039215686274517,10
#,22.647058823529424,8.92156862745098,10
#,22.647058823529427,21.274509803921568,10
#,22.647058823529427,42.05882352941177,10
$,33.49155503785673,28.326538536206563,10
$,33.25110689437065,4.993223095689892,10
$,33.14872757613684,53.99874843554442,10
$,24.411764705882355,43.03921568627451,10
$,44.92858871943841,19.268942144759137,10
$,33.82352941176472,16.568627450980394,10
$,24.411764705882355,13.627450980392155,10
$,14.495572422517391,47.87001897533207,10
$,24.208424110384883,32.415577342047925,10
$,33.82352941176471,37.254901960784316,10
$,24.66628959276018,53.535067873303184,10
$,16.164332399626517,8.408963585434176,10
$,24.62613753635425,4.693686086874898,10
$,42.60987153482082,49.598828036961905,10
$,15.507860801978445,37.73184949655538,10
$,24.411764705882355,22.84313725490196,10
$,40.729496099515075,25.397427788319632,10
$,40.513538748832865,7.114845938375353,10
$,44.861021331609585,11.659125188536947,10
$,33.82352941176471,45.78431372549019,10
%,35.11543327008223,46.54965211891208,10
%,33.863898500576695,14.590542099192614,10
%,17.52979623221838,36.47251057285659,10
%,18.823529411764707,16.960784313725497,10
%,46.222222222222214,11.490196078431374,10
%,44.26057169855895,48.230569336168195,10
